,0
0,146
1,150
2,82
3,129
4,74
5,84
6,117
7,83
8,158
9,64
10,120
11,81
12,158
13,83
14,146
15,181
16,191
17,123
18,165
19,121
20,84
21,125
22,100
23,119
24,204
25,80
26,150
27,201
28,125
29,161
30,64
31,134
32,210
33,184
34,116
35,131
36,148
37,248
38,166
39,154
40,120
41,147
42,244
43,168
44,245
45,125
46,105
47,200
48,121
49,101
50,93
51,203
52,111
53,118
54,109
55,145
56,132
57,144
58,239
59,126
60,324
61,227
62,248
63,276
64,242
65,145
66,468
67,255
68,500
69,500
70,500
71,500
72,500
73,500
74,500
75,500
76,500
77,500
78,500
79,500
80,500
81,500
82,500
83,500
84,500
85,500
86,341
87,500
88,500
89,500
90,220
91,240
92,178
93,59
94,67
95,111
96,500
97,500
98,500
99,388
100,500
101,500
102,500
103,256
104,500
105,68
106,500
107,500
108,500
109,500
110,500
111,500
112,500
113,500
114,500
115,500
116,500
117,500
118,500
119,500
120,500
121,500
122,500
123,500
124,500
125,500
126,500
127,500
128,331
129,500
130,500
131,500
132,500
133,500
134,500
135,500
136,500
137,500
138,500
139,150
140,165
141,500
142,500
143,500
144,500
145,500
146,500
147,500
148,500
149,500
150,500
151,500
152,500
153,500
154,500
155,500
156,500
157,500
158,500
159,500
160,500
161,500
162,500
163,500
164,500
165,500
166,122
167,500
168,500
169,500
170,500
171,288
172,500
173,500
174,43
175,35
176,29
177,500
178,167
179,247
180,142
181,135
182,205
183,389
184,500
185,500
186,500
187,500
188,500
189,500
190,500
191,500
192,500
193,500
194,500
195,500
196,500
197,500
198,500
199,500
200,500
201,500
202,500
203,500
204,500
205,500
206,500
207,500
208,500
209,500
210,500
211,500
212,500
213,500
214,500
215,500
216,500
217,500
218,500
219,500
220,500
221,500
222,500
223,500
224,500
225,500
226,500
227,500
228,500
229,500
230,500
231,500
232,500
233,500
234,500
235,500
236,500
237,500
238,500
239,500
240,482
241,500
242,283
243,500
244,500
245,500
246,500
247,500
248,500
249,500
250,500
251,500
252,500
253,500
254,500
255,500
256,500
257,500
258,500
259,500
260,500
261,500
262,500
263,500
264,500
265,500
266,500
267,500
268,500
269,500
270,500
271,500
272,500
273,500
274,500
275,500
276,500
