,0
0,-110.78225149296551
1,-76.29345763527223
2,-42.23922253660288
3,20.601203905773087
4,-148.37854152136063
5,-53.27349356180798
6,-35.64501775923695
7,-170.32640503766044
8,-86.26271592484062
9,-69.7369057388007
10,-71.7286643681228
11,-77.9916717185961
12,-75.6843314880224
13,-80.34569746960929
14,-56.40103763255949
15,-144.21036294547514
16,-107.40217544490774
17,-75.76127380095832
18,-63.89731631547932
19,-50.15761189195638
20,-44.32877852024401
21,-85.04714763564955
22,-86.25771885391661
23,-70.11098797235299
24,-91.97146798607808
25,-138.0939760311101
26,-107.90836687866488
27,-134.88806002446992
28,-67.30715879385542
29,-114.79540586864204
30,-105.64992896691494
31,-141.51081025279456
32,-131.0894328203399
33,-101.26821104835106
34,-125.61576142721376
35,-125.00035543350835
36,-125.26834969656848
37,-257.1278886176082
38,-107.12907166924884
39,-88.98340209148274
40,-7.694866292596981
41,-200.56935681913302
42,-135.43481268839335
43,-163.94747924068824
44,-105.19363529786546
45,-162.9434052971999
46,-179.14054252530008
47,-138.17480222650107
48,-154.5319808304502
49,-242.8185188338119
50,-108.94640450415369
51,-155.1450365311263
52,-324.8950783730325
53,-261.1014870493353
54,-218.7864684286489
55,-210.21931965506207
56,-309.5437417925088
57,-226.19699032123717
58,-229.72038546067645
59,-153.4624440794763
60,-222.54150779989857
61,-276.8555001920987
62,-262.4975892707707
63,-224.92042546798956
64,-288.40775011237974
65,-361.0267664863631
66,-296.01668699916905
67,-302.321750333857
68,-394.70234530051533
69,-385.7129304894667
70,-340.6565968385166
71,-409.1473423775942
72,-738.085887941546
73,-530.7000382399784
74,-583.7426881297367
75,-614.6936095426558
76,-821.3088642356743
77,-647.5490676509716
78,-761.4686398999283
79,-723.309855910811
80,-807.2125761861611
81,-1410.1722593831366
82,-755.5397774274438
83,-975.264816192021
84,-996.526600561489
85,-929.9575802357253
86,-1532.5792399038298
87,-1219.5521926017748
88,-1036.9144961161555
89,-1012.5986003893363
90,-912.5134758691524
91,-970.6749314101268
92,-732.9245086309377
93,-946.032445075723
94,-759.8931426402424
95,-788.4047770279782
96,-1273.1756721523325
97,-885.9853126350937
98,-839.0893046332092
99,-780.9623340730395
100,-946.9067555008066
101,-1221.4467011886386
102,-1020.4668492526591
103,-1462.0664690530116
104,-1474.6354495867065
105,-1537.7628193782962
106,-1539.3352978800688
107,-1507.491013136548
108,-1542.3840665732657
109,-1173.819066007601
110,-1167.9147910484253
111,-1171.7146136448032
112,-1172.9776132648735
113,-1169.0264909286486
114,-1035.0066144871575
115,-1516.3749066671928
116,-1603.5412123560154
117,-1619.0067519861368
118,-1504.2783909705604
119,-1555.4587901952189
120,-1595.7200913885824
121,-1119.8804191820575
122,-1633.8193592706532
123,-1625.546639138701
124,-1560.6441258034204
125,-1677.8899635879986
126,-1529.333973829259
127,-1593.8975669805234
128,-1591.5408365219464
129,-1681.5471333271612
130,-1547.389652914927
131,-1649.334943137555
132,-1560.144938544044
133,-1072.2242982880084
134,-1331.8599926273696
135,-982.24223045616
136,-1322.627109011974
137,-1167.8051982055042
138,-1221.7604419159711
139,-1377.4204929417676
140,-1332.674464709292
141,-1567.9540459002812
142,-1415.9926067907206
143,-1429.4414650439196
144,-1379.4406145977389
145,-1303.2410924479948
