,0
208,-2780.0110435676415
209,-1450.7990264335626
210,-2157.255135741244
211,-3671.52331342038
212,-3258.68673397343
213,-1449.8622781504994
214,-3235.06569792453
215,-3375.715400547855
216,-3417.6782266065447
217,-3222.585014335932
218,-3228.2216671648084
219,-3081.714261798119
220,-3595.748160965546
221,-3506.510173983101
222,-3701.0422009609265
223,-3496.2121914876534
224,-3137.8303558513885
225,-3627.241206430255
226,-3190.901196363537
227,-3403.5356338907413
228,-3534.4483464420787
229,-3449.6168806727383
230,-3149.111530021134
231,-3639.295637307758
232,-3222.1906915664536
233,-3328.3895281922664
234,-3346.3657364687547
235,-1069.1511232060582
236,-3217.276274055206
237,-2725.682206141128
238,-1398.9881150706135
239,-3225.0078676533267
240,-1235.5683206462509
241,-3326.275237190576
242,-1711.9435110129582
243,-3155.853999057618
244,-3389.99007711477
245,-3139.831010192199
246,-3247.212097637586
247,-3133.0007049680316
248,-981.367034240827
249,-604.254780959556
250,-445.61780866558377
251,-383.81021187908647
252,-487.71431599435124
253,-228.23538755573523
254,-716.717304082637
255,-799.5531505930106
256,-778.3320269516076
257,-299.19550748510085
258,-331.53487076631217
259,-272.6298173694055
260,-261.0179825641393
261,-267.60986471207076
262,-224.1721681219164
263,-238.94915907163468
264,-221.07980307332207
265,-193.9346257457786
266,-177.24036587596774
267,-158.4576613452625
268,-147.27988509564082
269,-132.3576893596032
270,-105.5672525609062
271,-122.37696147323071
272,-86.44675217250551
273,-95.18694422603697
274,-129.20493404896433
275,-91.90393384439959
276,-83.0933538284522
277,-73.97790820059063
278,-123.45497763375346
279,-70.07774022633772
280,-71.7062425569793
281,-80.43770471852736
282,-54.37665775697975
283,-60.633883090992086
284,-60.43682594324851
285,-88.02588083075983
286,-79.12079693865459
287,-100.19013810438764
288,-97.5603357588203
289,-106.45877465856753
290,-116.14138510994013
291,-107.97130791965094
292,-98.39864422076523
293,-101.23780244339169
294,-97.48224251086202
295,-121.68058604516371
296,-139.6210253990853
297,-112.01730323305915
298,-118.61061117042254
299,-135.13050233864237
300,-150.94232460836557
301,-160.41868388924968
302,-154.93859050529886
303,-145.1571550116005
304,-135.9043681919927
305,-184.14748182568013
306,-181.1045041448397
307,-150.42865712795998
308,-129.04986213797181
309,-103.93967174957093
310,-121.91419891984326
311,-115.09475455923891
312,-124.4740768712652
313,-115.08631284159654
314,-120.02874998191402
315,-137.92684072058466
316,-143.25400967023052
317,-134.06113734379628
318,-135.12902481559422
319,-146.94050561040632
320,-131.0405849205054
321,-175.2477272098016
322,-160.15336325954218
323,-139.74297574877778
324,-133.78407170588466
325,-146.998033044272
326,-117.58685670316294
327,-133.44723716625023
328,-145.7090568487686
329,-133.2272941187999
330,-118.96299214089157
331,-106.45539387582468
332,-115.6157769815714
333,-125.10661342417491
334,-167.5565504640691
335,-179.4071983372633
336,-190.70447724837683
337,-168.51719216048505
338,-129.26238546083513
339,-125.71022496925372
340,-118.50644910203796
341,-143.39587131773888
342,-157.4581128297129
343,-183.63613141443807
344,-170.23138327972907
345,-145.8343754029958
346,-126.93805732948996
347,-126.06524982562131
348,-135.70313740781938
349,-145.46252662158903
350,-134.96119725614017
351,-147.17946725201875
352,-252.7916456651683
353,-248.94133928247408
354,-235.3626279951613
355,-238.61927065159182
356,-224.59169852380808
357,-237.7966001350561
358,-1560.7801767048734
359,-1916.9709252364526
360,-841.3375343529644
361,-441.4133154670429
362,-526.4320941269326
363,-300.81398903759754
364,-290.5406682271935
365,-329.34319120855685
366,-1998.1760884341018
367,-306.00807196594735
368,-1869.5896532637087
369,-1996.0859839786008
370,-769.0011879473425
371,-237.78656079064336
372,-532.3003978262528
373,-242.19959217159285
374,-274.34319279482315
375,-286.5124589396036
376,-200.02398073322163
377,-270.99604939903253
378,-261.77743449266524
379,-207.9387276648405
380,-150.51111887297748
381,-134.34188532867117
382,-170.81348289860583
383,-169.3545280824982
384,-184.784099008365
385,-135.14838930235763
386,-112.76435320234513
387,-99.55342695176446
388,-67.15569073216062
389,-85.76245038863175
390,-93.16163519014681
391,-119.35965989239676
392,-112.69627536901683
393,-95.65034570968504
394,-74.83228139244476
