,0
799,46
800,48
801,46
802,53
803,51
804,47
805,47
806,50
807,50
808,48
809,53
810,49
811,47
812,88
813,99
814,42
815,44
816,50
817,48
818,45
819,46
820,46
821,41
822,48
823,45
824,45
825,44
826,45
827,50
828,46
829,49
830,45
831,49
832,47
833,44
834,47
835,47
836,50
837,49
838,42
839,68
840,71
841,43
842,41
843,47
844,48
845,44
846,46
847,46
848,42
849,49
850,45
851,43
852,44
853,41
854,78
855,74
856,77
857,46
858,41
859,48
860,45
861,49
862,45
863,87
864,41
865,82
866,44
867,45
868,50
869,43
870,45
871,44
872,43
873,43
874,49
875,44
876,40
877,81
878,44
879,43
880,48
881,82
882,82
883,82
884,45
885,42
886,42
887,92
888,46
889,42
890,44
891,46
892,80
893,48
894,43
895,71
896,67
897,83
898,43
899,65
900,61
901,63
902,69
903,44
904,44
905,67
906,42
907,44
908,46
909,62
910,68
911,70
912,85
913,72
914,47
915,41
916,49
917,73
918,75
919,72
920,59
921,76
922,75
923,72
924,60
925,42
926,46
927,78
928,49
929,37
930,39
931,66
932,76
933,70
934,70
935,46
936,43
937,47
938,47
939,45
940,44
941,50
942,47
943,46
944,82
945,49
946,84
947,47
948,65
949,42
950,43
951,64
952,62
953,43
954,45
955,45
956,52
957,71
958,67
959,75
960,80
961,86
962,66
963,40
964,52
965,41
966,46
967,48
968,46
969,44
970,46
971,46
972,66
973,41
974,70
975,58
976,46
977,44
978,57
979,44
980,55
981,59
982,63
983,58
984,68
985,68
986,62
987,63
988,69
989,63
990,67
991,66
992,72
993,37
994,45
995,67
996,44
997,69
998,67
999,60
