,0
799,42
800,40
801,76
802,49
803,44
804,44
805,40
806,44
807,41
808,42
809,42
810,39
811,43
812,40
813,44
814,42
815,46
816,39
817,45
818,44
819,38
820,46
821,46
822,44
823,45
824,41
825,43
826,42
827,46
828,41
829,42
830,41
831,44
832,40
833,43
834,42
835,44
836,45
837,40
838,42
839,41
840,42
841,44
842,44
843,43
844,43
845,44
846,37
847,40
848,38
849,78
850,78
851,46
852,42
853,39
854,40
855,41
856,43
857,42
858,42
859,39
860,41
861,41
862,43
863,40
864,39
865,41
866,44
867,76
868,39
869,38
870,44
871,42
872,42
873,43
874,43
875,41
876,39
877,37
878,39
879,40
880,43
881,42
882,46
883,44
884,40
885,43
886,41
887,76
888,44
889,38
890,41
891,39
892,42
893,40
894,40
895,44
896,42
897,41
898,44
899,43
900,44
901,42
902,40
903,40
904,47
905,45
906,42
907,45
908,40
909,39
910,42
911,41
912,44
913,44
914,41
915,40
916,39
917,41
918,42
919,36
920,75
921,42
922,41
923,44
924,45
925,39
926,39
927,43
928,46
929,44
930,42
931,39
932,47
933,44
934,41
935,40
936,41
937,37
938,39
939,41
940,40
941,41
942,46
943,40
944,42
945,78
946,45
947,43
948,42
949,41
950,45
951,41
952,39
953,39
954,38
955,40
956,39
957,40
958,39
959,79
960,43
961,42
962,38
963,42
964,44
965,37
966,41
967,47
968,43
969,39
970,41
971,40
972,44
973,44
974,45
975,42
976,43
977,38
978,42
979,40
980,36
981,38
982,39
983,44
984,38
985,44
986,74
987,43
988,41
989,42
990,42
991,41
992,40
993,42
994,43
995,43
996,39
997,40
998,41
999,37
1000,45
1001,41
1002,42
1003,40
1004,78
1005,44
1006,36
1007,40
1008,44
1009,42
1010,42
1011,38
1012,45
1013,85
1014,43
1015,42
1016,76
1017,39
1018,41
1019,40
1020,75
1021,40
1022,43
1023,42
1024,48
1025,45
1026,42
1027,45
1028,41
1029,41
1030,44
1031,42
1032,41
1033,39
1034,41
1035,42
1036,38
1037,39
1038,41
1039,40
1040,39
1041,44
1042,45
1043,43
1044,42
1045,42
1046,36
1047,42
1048,46
1049,39
1050,40
1051,42
1052,40
1053,44
1054,40
1055,46
1056,40
1057,40
1058,44
1059,39
1060,39
1061,38
1062,43
1063,39
1064,44
1065,39
1066,78
1067,40
1068,46
1069,45
1070,40
1071,41
1072,39
1073,37
1074,43
1075,38
1076,40
1077,43
1078,39
1079,46
1080,43
1081,41
1082,38
1083,39
1084,45
1085,39
1086,40
1087,40
1088,37
1089,35
1090,43
1091,42
1092,41
1093,40
1094,38
1095,36
1096,38
1097,38
1098,43
1099,39
1100,42
1101,48
1102,41
1103,43
1104,47
1105,48
1106,54
1107,48
1108,54
1109,55
1110,47
1111,47
1112,83
1113,101
1114,70
1115,60
1116,48
1117,59
1118,86
1119,59
1120,51
1121,52
1122,51
1123,49
1124,53
1125,49
1126,49
1127,46
1128,54
1129,61
1130,50
1131,51
1132,49
1133,45
1134,49
1135,56
1136,47
1137,49
1138,49
1139,52
1140,61
1141,49
1142,48
1143,51
1144,50
1145,50
1146,51
1147,51
1148,50
1149,53
1150,45
1151,48
1152,51
1153,52
1154,53
1155,54
1156,48
1157,50
1158,50
1159,89
1160,105
1161,67
1162,51
1163,45
1164,55
1165,49
1166,101
1167,60
1168,52
1169,61
1170,49
1171,54
1172,48
1173,62
1174,129
1175,53
1176,58
1177,51
1178,48
1179,51
1180,60
1181,50
1182,51
1183,47
1184,61
1185,66
1186,59
1187,114
1188,59
1189,54
1190,57
1191,52
1192,55
1193,47
1194,50
1195,50
1196,122
1197,53
1198,58
1199,50
1200,48
1201,57
1202,55
1203,54
1204,71
1205,60
1206,60
1207,51
1208,58
1209,62
1210,57
1211,55
1212,47
1213,52
1214,67
1215,61
1216,63
1217,50
1218,54
1219,120
1220,59
1221,53
1222,69
1223,55
1224,48
1225,53
1226,53
1227,47
1228,113
1229,123
1230,93
1231,116
1232,60
1233,120
1234,130
1235,69
1236,51
1237,50
1238,43
1239,55
1240,51
1241,53
1242,49
1243,54
1244,51
1245,51
1246,63
1247,52
1248,61
1249,52
1250,47
1251,46
1252,51
1253,60
1254,48
1255,57
1256,48
1257,56
1258,51
1259,49
1260,59
1261,50
1262,48
1263,49
1264,49
1265,53
1266,54
1267,54
1268,52
1269,95
1270,54
1271,52
1272,52
1273,56
1274,65
1275,55
1276,59
1277,49
1278,47
1279,49
1280,53
1281,54
1282,58
1283,119
1284,60
1285,104
1286,56
1287,57
1288,50
1289,54
1290,50
1291,49
1292,54
1293,53
1294,52
1295,53
1296,50
1297,52
1298,49
1299,50
1300,59
1301,52
1302,116
1303,134
1304,62
1305,134
1306,75
1307,70
1308,51
1309,63
1310,54
1311,51
1312,62
1313,63
1314,67
1315,63
1316,58
1317,70
1318,53
1319,61
1320,55
1321,59
1322,72
1323,52
1324,56
1325,122
1326,55
1327,55
1328,61
1329,56
1330,63
1331,65
1332,54
1333,59
1334,60
1335,57
1336,54
1337,47
1338,59
1339,57
1340,56
1341,62
1342,61
1343,52
1344,60
1345,55
1346,50
1347,50
1348,54
1349,106
1350,62
1351,62
1352,58
1353,52
1354,48
1355,49
1356,48
1357,55
1358,99
1359,101
1360,105
1361,68
1362,62
1363,55
1364,105
1365,62
1366,53
1367,56
1368,52
1369,53
1370,50
1371,61
1372,115
1373,65
1374,48
1375,54
1376,51
1377,63
1378,57
1379,61
1380,94
1381,60
1382,63
1383,59
1384,51
1385,62
1386,65
1387,52
1388,62
1389,58
1390,59
1391,69
1392,68
1393,60
1394,52
1395,62
1396,53
1397,54
1398,62
1399,59
1400,59
1401,61
1402,58
1403,57
1404,60
1405,59
1406,56
